station_complex,Route,avg(avail_score)
Astor Pl (6),6,93.7305784261217
"8 St-NYU (R,W)",W,93.71688559283915
18 St (1),1,93.5110415496367
Canal St (1),1,93.30810414271335
"Prince St (R,W)",W,93.17864429580818
"Spring St (C,E)",E,92.86744395081527
Houston St (1),1,92.81563230542771
"W 4 St-Wash Sq (A,C,E,B,D,F,M)",M,92.70708183785209
23 St (1),1,92.4497367206324
Spring St (6),6,92.19714828422129
"23 St (F,M)",M,91.94691482203734
"Bowery (J,Z)",Z,91.9232465149506
"23 St (R,W)",W,91.71602288162175
"14 St (F,M,1,2,3)/6 Av (L)",2,91.54912167176994
3 Av (L),L,91.33818167355908
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",F,91.2898560036801
"5 Av/53 St (E,M)",M,91.02247350454374
57 St (F),F,90.83838570279713
"23 St (C,E)",E,90.81835889611142
2 Av (F),F,90.77980756101059
"City Hall (R,W)",W,90.55109812786708
Franklin St (1),1,90.39879130471174
"5 Av/59 St (N,R,W)",W,90.29210434431286
23 St (6),6,90.28694006700904
"14 St (A,C,E)/8 Av (L)",C,89.98283749451248
"Canal St (A,C,E)",E,89.97758278413538
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",6,89.94145616644713
"50 St (C,E)",E,89.62879279623166
"72 St (C,B)",B,89.61365896061133
"57 St-7 Av (N,Q,R,W)",W,89.49309363458772
"Lexington Av/63 St (F,Q)",Q,89.3141739736382
50 St (1),1,89.29752241047053
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",M,88.60073785851544
"Chambers St (1,2,3)",3,88.45260055852282
"49 St (N,R,W)",W,88.38727377894699
28 St (1),1,88.25723574048746
66 St-Lincoln Center (1),1,88.16550111444982
"Canal St (J,N,Q,R,W,Z,6)",Z,88.090537799315
"81 St-Museum of Natural History (C,B)",B,88.0790343356877
"Grand St (B,D)",D,88.03401787422551
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",5,87.77563423434108
68 St-Hunter College (6),6,87.676119896189
"59 St-Columbus Circle (A,B,C,D,1)",1,87.45838077403292
28 St (6),6,87.40330538515956
"28 St (R,W)",W,87.37586951424288
"Broad St (J,Z)",Z,87.04923822568334
1 Av (L),L,87.02298072432305
33 St (6),6,86.91634830574431
WTC Cortlandt (1),1,86.70442702619225
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",A,86.46027289219883
East Broadway (F),F,86.37346901166497
"72 St (1,2,3)",3,86.32745081239597
79 St (1),1,86.18958079005365
"Wall St (2,3)",3,86.01375723176275
"Rector St (R,W)",W,85.96591125399135
"Grand Central-42 St (S,4,5,6,7)",7,85.51623844809805
"Wall St (4,5)",5,85.50762510774481
Rector St (1),1,85.39536381728826
"86 St (C,B)",B,85.04084595725665
"Fulton St (A,C,J,Z,2,3,4,5)",3,84.5951319402075
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",W,84.44693548814061
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",W,84.29165677518263
"34 St-Penn Station (1,2,3)",3,84.18893983789332
"34 St-Penn Station (A,C,E)",E,84.01950272811197
34 St-Hudson Yards (7),7,83.62300594271456
Roosevelt Island (F),F,83.58416214074688
77 St (6),6,82.96241453265081
"Clark St (2,3)",3,82.36797023723622
72 St (Q),Q,82.228224185872
"High St (A,C)",C,82.18010450547925
"96 St (C,B)",B,81.99003208730926
86 St (1),1,81.51272204365542
York St (F),F,80.73032843336117
"86 St (4,5,6)",6,79.64068890764611
"Hoyt St (2,3)",3,79.55217296413339
86 St (Q),Q,78.44037299051453
"Bergen St (F,G)",G,77.49827260401423
"Hoyt-Schermerhorn Sts (A,C,G)",G,77.1982774200462
"Bowling Green (4,5)",5,77.11649356064234
"Nevins St (2,3,4,5)",5,76.90224707558122
96 St (6),6,76.80459446817616
"DeKalb Av (B,Q,R)",R,76.78105262885865
"Jay St-MetroTech (A,C,F,R)",R,76.39017581583182
96 St (Q),Q,75.64798704518593
Lafayette Av (C),C,75.02113171210588
Union St (R),R,74.53884523002282
"Bergen St (2,3)",3,74.50231568041741
Park Pl (S),S,74.28747561572473
"7 Av (B,Q)",Q,73.12911763970584
"103 St (C,B)",B,72.93283321042631
"116 St (C,B)",B,72.90850279627418
"Grand Army Plaza (2,3)",3,72.62215479975202
Fulton St (G),G,72.28821191819215
"7 Av (E,B,D)",B,72.10149775895056
"135 St (C,B)",B,71.59308002986612
Clinton-Washington Avs (C),C,71.4110981854526
"96 St (1,2,3)",3,71.38229260798174
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",R,71.23915782326105
Harlem-148 St (3),3,70.82989094296518
"Lorimer St (M,J)",J,70.7679200208457
"Carroll St (F,G)",G,70.68014797504478
145 St (3),3,70.39709395110674
"116 St (2,3)",3,69.59773971707115
Broadway (G),G,69.58134246930216
Clinton-Washington Avs (G),G,69.41872692915491
"155 St (B,D)",D,69.39040667405837
"7 Av (F,G)",G,69.2831754276726
"Hewes St (M,J)",J,68.77849112400074
Flushing Av (G),G,68.70882462785593
Graham Av (L),L,68.4820672755509
"Eastern Pkwy-Brooklyn Museum (2,3)",3,68.11610709109547
"135 St (2,3)",3,67.30758462041786
"125 St (2,3)",3,67.24376398401702
137 St-City College (1),1,67.20383950489125
Grand St (L),L,67.03908144569628
Prospect Av (R),R,66.96036992793933
125 St (1),1,66.87026967539543
Central Av (M),M,66.43919344672743
"Franklin Av (C,S)",S,66.3910231070229
Classon Av (G),G,66.37687673131747
21 St-Queensbridge (F),F,66.32576587922048
155 St (C),C,66.20161985832584
Montrose Av (L),L,66.1723742030807
Morgan Av (L),L,66.17072163598121
Kosciuszko St (J),J,66.04390173282403
Nostrand Av (3),3,65.96509418716909
Jefferson St (L),L,65.87346173657657
Vernon Blvd-Jackson Av (7),7,65.81084179412774
"President St-Medgar Evers College (2,5)",5,65.74169193853484
21 St (G),G,65.64393441520517
Hunters Point Av (7),7,65.48574039481107
"39 Av-Dutch Kills (N,W)",W,65.30934802437358
"145 St (A,C,B,D)",D,65.27485035404878
116 St-Columbia University (1),1,65.27113809163878
"Sterling St (2,5)",5,65.2583938444442
"Queensboro Plaza (7,N,W)",W,65.1231343221411
"125 St (A,C,B,D)",D,65.11457354679085
103 St (1),1,64.77792862978032
103 St (6),6,64.7135391870734
25 St (R),R,64.70007589947485
Kingston-Throop Avs (C),C,64.53449159555473
"Smith-9 Sts (F,G)",G,64.41826112886699
145 St (1),1,64.18134634798591
"Myrtle Av (M,J,Z)",Z,63.8844443702024
Bedford Av (L),L,63.84092821980103
Halsey St (J),J,63.79175985809034
Kingston Av (3),3,63.731803409024806
Nassau Av (G),G,63.699772313647294
Knickerbocker Av (M),M,63.531192140143766
"Nostrand Av (A,C)",C,63.461073114104366
"15 St-Prospect Park (F,G)",G,63.24810875898187
"Queens Plaza (E,M,R)",R,63.07859743936482
"Marcy Av (M,J,Z)",Z,63.02924932755233
"138 St-Grand Concourse (4,5)",5,63.02313281190235
110 St (6),6,61.947742521286536
116 St (6),6,61.80167083972518
DeKalb Av (L),L,61.781807552886505
"Court Sq (E,G,M,7)",G,61.49111876337422
"Flushing Av (M,J)",J,61.10628400270215
33 St-Rawson St (7),7,60.748282697040736
"Prospect Park (B,Q,S)",S,60.106460769307844
"Gates Av (J,Z)",Z,59.78115500086399
"125 St (4,5,6)",6,59.36939491731554
Myrtle-Willoughby Avs (G),G,59.17291877999922
"149 St-Grand Concourse (2,4,5)",4,59.1617445550242
"Utica Av (A,C)",C,59.06306599229013
"Chauncey St (J,Z)",Z,59.05489523326228
"36 Av (N,W)",W,58.90835538311061
Bedford-Nostrand Avs (G),G,58.18590754487472
Wilson Av (L),L,57.30584353818422
Greenpoint Av (G),G,57.21838070833458
"Myrtle-Wyckoff Avs (L,M)",M,56.830354035227174
3 Av-138 St (6),6,56.43971836018193
"36 St (M,R)",R,55.86608546232882
Seneca Av (M),M,55.58602468872063
"161 St-Yankee Stadium (B,D,4)",D,55.51080939613056
163 St-Amsterdam Av (C),C,55.22067508888724
"Winthrop St (2,5)",5,55.02421634251757
40 St-Lowery St (7),7,54.877711691354
Halsey St (L),L,54.87479790818058
Forest Av (M),M,54.66931119297327
Ralph Av (C),C,54.649480802641015
157 St (1),1,54.3044454124662
9 Av (D),D,53.509978533227596
"36 St (D,N,R)",R,53.20732124677791
"Fort Hamilton Pkwy (F,G)",G,52.98506498424466
45 St (R),R,52.131844534256494
"Church Av (B,Q)",Q,51.97786848318303
"Crown Hts-Utica Av (3,4)",4,51.81031503649142
Bushwick Av-Aberdeen St (L),L,51.43987467100281
Parkside Av (Q),Q,50.73485479787176
53 St (R),R,50.73095955483506
"Broadway (N,W)",W,50.50977881181451
"Steinway St (M,R)",R,49.609874052802205
Fresh Pond Rd (M),M,48.827844268857675
"46 St (M,R)",R,47.092428360494345
"Northern Blvd (M,R)",R,46.939306595452116
46 St-Bliss St (7),7,46.45014795382856
"Church Av (2,5)",5,46.00018556586502
"30 Av (N,W)",W,45.607579831718674
"65 St (M,R)",R,45.45408482999938
Rockaway Av (C),C,45.168349242100795
"3 Av-149 St (2,5)",5,45.00012222587185
"168 St (A,C,1)",C,44.85440401302547
Mets-Willets Point (7),7,43.84841237061059
Cypress Av (6),6,43.73341072045573
Brook Av (6),6,43.71179547024684
Neptune Av (F),F,43.56988756587127
"Church Av (F,G)",G,43.32057346184704
"Astoria Blvd (N,W)",W,43.19858427255737
69 St (7),7,43.00109548960155
52 St (7),7,42.97665160474278
Cortelyou Rd (Q),Q,42.54121494355945
"Jackson Av (2,5)",5,42.465254934211956
Beverley Rd (Q),Q,41.6438404175705
Zerega Av (6),6,41.63593884073354
Ocean Pkwy (Q),Q,41.470012031311896
Avenue P (F),F,41.30723029570165
"Fordham Rd (B,D)",D,41.28851360120893
"W 8 St-NY Aquarium (F,Q)",Q,41.10654531270251
E 149 St (6),6,41.096548441137344
Fort Hamilton Pkwy (D),D,40.99610021643656
61 St-Woodside (7),7,40.79644419201136
Norwood-205 St (D),D,40.57225202405758
Westchester Sq-E Tremont Av (6),6,40.32351915870698
"Beverly Rd (2,5)",5,40.19249776134025
Castle Hill Av (6),6,40.1075233862873
103 St-Corona Plaza (7),7,40.09123975770179
111 St (7),7,40.05233802823433
Sutter Av-Rutland Rd (3),3,39.81964646361386
167 St (4),4,39.728801056809374
86 St (R),R,39.68415094651463
191 St (1),1,39.5174363541626
"Bedford Park Blvd (B,D)",D,39.43635267814373
238 St (1),1,39.15672011624749
Dyckman St (1),1,38.96093757902505
"167 St (B,D)",D,38.883782907506536
Flushing-Main St (7),7,38.69414269326989
Ditmas Av (F),F,38.691696596730125
Avenue H (Q),Q,38.65880287424976
"Burke Av (2,5)",5,38.63537243007713
190 St (A),A,38.56780740955612
"Kingsbridge Rd (B,D)",D,38.361153145903685
"Astoria-Ditmars Blvd (N,W)",W,38.253280530806
"170 St (B,D)",D,38.24345511762615
181 St (A),A,38.121992391148964
175 St (A),A,38.11231822443129
Van Cortlandt Park-242 St (1),1,38.11019989122376
Bedford Park Blvd-Lehman College (4),4,38.03757907960099
"Elmhurst Av (M,R)",R,37.92365364495869
90 St-Elmhurst Av (7),7,37.68000951892078
Atlantic Av (L),L,37.66481841395931
Dyckman St (A),A,37.515960311166474
"Newkirk Av-Little Haiti (2,5)",5,37.501589947022666
Mosholu Pkwy (4),4,37.383929554365125
215 St (1),1,37.31138171645433
50 St (D),D,37.3001394116764
St Lawrence Av (6),6,37.262597344419774
181 St (1),1,37.125171905964905
170 St (4),4,36.9911666601365
82 St-Jackson Hts (7),7,36.94688263689947
231 St (1),1,36.94025569688138
"182-183 Sts (B,D)",D,36.900656297228096
"Coney Island-Stillwell Av (D,F,N,Q)",Q,36.82108783523333
Saratoga Av (3),3,36.76858061027463
Marble Hill-225 St (1),1,36.712917193357804
Avenue J (Q),Q,36.52467069793938
"Freeman St (2,5)",5,36.486536010879625
207 St (1),1,36.43808531607288
183 St (4),4,36.352837971352855
Parkchester (6),6,36.32905483138446
"174 St (2,5)",5,36.193870628135684
18 Av (F),F,36.114332459167066
"Broadway Junction (A,C,J,L,Z)",C,35.88485692638808
"75 Av (E,F)",F,35.801299100588345
Middletown Rd (6),6,35.75601501167568
Whitlock Av (6),6,35.75270676124252
Alabama Av (J),J,35.74863739713023
Avenue I (F),F,35.66302794172195
"Prospect Av (2,5)",5,35.64256376617256
Pelham Pkwy (5),5,35.45982921085762
Kings Hwy (F),F,35.36202540727073
Inwood-207 St (A),A,35.18518726790278
"Newkirk Plaza (B,Q)",Q,35.11437361859241
Parsons Blvd (F),F,35.014729373274044
Bay 50 St (D),D,34.96389605907952
"174-175 Sts (B,D)",D,34.87572438948686
55 St (D),D,34.84401446585447
"Allerton Av (2,5)",5,34.78195684436706
176 St (4),4,34.73333568185655
Bay Ridge-95 St (R),R,34.72960641539708
169 St (F),F,34.631966488040234
Burnside Av (4),4,34.617756010180386
Woodlawn (4),4,34.58656327037867
Longwood Av (6),6,34.4919298546523
"Tremont Av (B,D)",D,34.45314390524961
"Kings Hwy (B,Q)",Q,34.38245331653308
Kingsbridge Rd (4),4,34.310714843266865
E 143 St-St Mary's St (6),6,34.2581598568082
"Grand Av-Newtown (M,R)",R,34.240309965599046
"Intervale Av (2,5)",5,34.23305675954021
Fordham Rd (4),4,34.171840923856934
Buhre Av (6),6,34.00675433944811
"Norwood Av (J,Z)",Z,33.99869769901841
"Pelham Pkwy (2,5)",5,33.92313674025037
Junction Blvd (7),7,33.90448110409776
Rockaway Av (3),3,33.872531051581845
"Forest Hills-71 Av (E,F,M,R)",R,33.807682623931775
Neck Rd (Q),Q,33.78475503311234
77 St (R),R,33.62400539424778
Avenue M (Q),Q,33.58859860067426
Cleveland St (J),J,33.495005276996906
"67 Av (M,R)",R,33.42036614540589
Avenue U (F),F,33.29060977334087
"Bronx Park East (2,5)",5,33.21993146440533
"Van Siclen Av (J,Z)",Z,32.97588717341763
"59 St (N,R)",R,32.755984983371135
Cypress Hills (J),J,32.747363391034035
Avenue U (Q),Q,32.68002670664925
"Simpson St (2,5)",5,32.619163608677766
Van Siclen Av (C),C,32.58783657136366
Jamaica-Van Wyck (E),E,32.56012246313909
79 St (D),D,32.48975053319889
71 St (D),D,32.318849048903346
Hunts Point Av (6),6,32.29940333896269
"West Farms Sq-E Tremont Av (2,5)",5,32.258555936244576
Middle Village-Metropolitan Av (M),M,32.236680784388724
Morrison Av-Soundview (6),6,32.228315316046604
"E 180 St (2,5)",5,31.7167589211449
Shepherd Av (C),C,31.531572538127023
Liberty Av (C),C,31.517853271218762
Bay Ridge Av (R),R,31.375966180024136
Mt Eden Av (4),4,31.275536117513457
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Z,31.254946370023873
"219 St (2,5)",5,30.630413446873938
Bay Pkwy (F),F,30.605735323538156
Sutter Av (L),L,30.459285306835362
"Brighton Beach (B,Q)",Q,30.388547433264822
"Kew Gardens-Union Tpke (E,F)",F,30.36418482605352
Sutphin Blvd (F),F,30.178971384058748
Avenue N (F),F,29.853278380480845
8 Av (N),N,29.53472668318425
88 St (A),A,29.32339193699631
"Crescent St (J,Z)",Z,28.993979389371496
80 St (A),A,28.95654316371913
"75 St-Elderts Ln (J,Z)",Z,28.663756558785963
"Flatbush Av-Brooklyn College (2,5)",5,28.501552319381773
"Euclid Av (A,C)",C,28.457020920331594
Elder Av (6),6,28.415195511076085
"63 Dr-Rego Park (M,R)",R,28.3741600113716
Grant Av (A),A,27.912086113209767
"Briarwood (E,F)",F,27.87106427188228
"225 St (2,5)",5,27.821683905842047
20 Av (D),D,27.137400958155563
"Jamaica Center-Parsons/Archer (E,J,Z)",Z,27.1240756727279
111 St (A),A,27.08108058013597
Kings Hwy (N),N,26.718790629800985
Bay Pkwy (N),N,26.516541010446815
18 Av (D),D,26.120615857403898
"Woodhaven Blvd (M,R)",R,26.050422794657987
Fort Hamilton Pkwy (N),N,25.97405004781067
Bay Pkwy (D),D,25.86272119901982
Morris Park (5),5,25.79909295763526
"121 St (J,Z)",Z,25.4443159711875
104 St (A),A,25.44072834906718
20 Av (N),N,25.187600891934068
Junius St (3),3,25.00603794230144
Livonia Av (L),L,24.805400273811138
Ozone Park-Lefferts Blvd (A),A,24.37895180733789
18 Av (N),N,23.972894893697365
Avenue X (F),F,23.879315912448146
Canarsie-Rockaway Pkwy (L),L,23.729534630964068
Pennsylvania Av (3),3,23.643450791776157
Wakefield-241 St (2),2,23.273275290382706
86 St (N),N,23.166499856821424
Avenue U (N),N,22.90055668236302
Van Siclen Av (3),3,22.264089806970457
"Sheepshead Bay (B,Q)",Q,22.253985132514504
East 105 St (L),L,21.92297906921717
Aqueduct Racetrack (A),A,21.89625342406923
"233 St (2,5)",5,21.36407393806789
Aqueduct-N Conduit Av (A),A,21.339039127737312
25 Av (D),D,21.099092582195517
Pelham Bay Park (6),6,20.8080427610925
85 St-Forest Pkwy (J),J,20.699230402852375
"Nereid Av (2,5)",5,20.164114757442892
111 St (J),J,19.33056454145257
"Beach 105 St (A,S)",S,19.25140441355586
Eastchester-Dyre Av (5),5,19.165834695478182
Jamaica-179 St (F),F,19.12103383322495
"Beach 98 St (A,S)",S,19.074950857752277
"104 St (J,Z)",Z,19.01534875738812
"Beach 90 St (A,S)",S,18.669826430978933
Rockaway Blvd (A),A,17.8754149069147
New Lots Av (L),L,17.82639575913887
"Woodhaven Blvd (J,Z)",Z,17.63337063732988
"Rockaway Park-Beach 116 St (A,S)",S,17.106972075927942
Baychester Av (5),5,15.094018264043335
Gun Hill Rd (5),5,14.707261789350943
"Gun Hill Rd (2,5)",5,14.10790791730373
New Lots Av (3),3,13.750175957845254
Beach 25 St (A),A,13.030448563343791
Far Rockaway-Mott Av (A),A,12.561154408513698
Beach 44 St (A),A,11.81438513815979
Beach 36 St (A),A,11.107504885367124
Beach 60 St (A),A,10.692090547956827
Beach 67 St (A),A,9.970518403685666
Howard Beach-JFK Airport (A),A,5.936132982088422
